fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Gender and Development Studies,Lower middle income,u37,6,3.02,3.0,3.38,3.25,0.0,3.16,3.14,3.41,0.0
Gender and Development Studies,High income,U25,,3.84,4.0,3.75,3.75,3.5,3.84,3.73,3.76,3.53
Gender and Development Studies,Lower middle income,U30,6,3.0,3.5,3.25,3.5,0.0,3.52,3.56,3.54,0.0
Gender and Development Studies,Lower middle income,u37,6,3.53,3.75,3.63,3.75,0.0,3.18,3.68,3.66,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.49,3.63,3.75,4.0,0.0,3.57,3.63,3.77,0.0
Water Engineering and Management,Lower middle income,U30,6,3.5,3.88,3.57,0.0,0.0,3.61,3.77,0.0,0.0
Energy,Lower middle income,U30,6,2.86,2.85,2.88,3.25,3.5,3.21,3.13,3.3,3.2
Offshore Technology and Management,Lower middle income,U30,6,3.0,3.38,3.23,3.0,0.0,3.52,3.5,3.42,0.0
Business Administration - MBA,Upper middle income,U30,6,3.5,3.5,3.58,3.65,3.5,3.5,3.54,3.56,3.58
Gender and Development Studies,Lower middle income,u37,6,3.05,3.5,3.5,3.5,0.0,3.2,3.55,3.47,0.0
Gender and Development Studies,Lower middle income,U30,,2.0,3.13,3.25,3.0,0.0,3.41,3.24,3.38,0.0
Gender and Development Studies,Lower middle income,u37,,2.9,3.63,3.63,3.75,0.0,3.18,3.62,3.57,0.0
Environmental Engineering and Management,Upper middle income,U25,,3.03,3.0,3.25,3.5,0.0,3.16,3.19,3.48,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.39,2.86,3.13,3.0,0.0,3.53,3.13,3.37,0.0
Environmental Engineering and Management,Low income,U30,,3.11,3.77,3.75,4.0,0.0,3.7,3.78,3.85,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.69,3.33,4.0,4.0,0.0,3.47,3.51,3.64,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.35,3.33,3.5,3.44,0.0,3.44,3.51,3.49,0.0
Offshore Technology and Management,Lower middle income,U30,6,2.0,3.25,3.12,3.0,0.0,3.5,3.35,3.37,0.0
ConstructionEngineering and Infrastructure Management,Low income,U30,6,3.5,3.25,3.36,0.0,0.0,3.39,3.36,0.0,0.0
Nanotechnology,Lower middle income,U44,6,2.43,3.14,3.0,0.0,0.0,3.16,3.22,0.0,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,U30,6,3.55,3.11,3.18,3.0,3.0,3.32,3.21,3.44,3.26
Business Administration - MBA,Upper middle income,U30,,3.16,3.57,3.75,3.88,0.0,3.57,3.6,3.67,0.0
International Business - Management of Technology (VN),Lower middle income,U25,6,3.0,3.59,3.33,3.21,3.38,3.48,3.55,3.51,3.5
International Business - Management of Technology (VN),Lower middle income,U44,6,2.5,3.45,3.56,3.46,3.38,3.5,3.56,3.52,3.58
International Business - Management of Technology (VN),Lower middle income,U44,6,2.5,3.27,3.78,3.61,3.06,3.52,3.5,3.47,3.5
Environmental Engineering and Management,Lower middle income,U30,6,3.5,3.64,3.6,0.0,0.0,3.58,3.64,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.6,3.17,3.38,3.8,0.0,3.21,3.29,3.45,0.0
Business Administration - MBA,Lower middle income,U30,6,3.94,3.83,3.71,3.86,4.0,3.5,3.68,3.72,3.76
Business Administration - MBA,Upper middle income,U30,6.5,3.7,3.36,3.5,3.5,3.35,3.34,3.5,3.64,3.64
Mechatronics,Upper middle income,u37,6,2.68,3.55,3.67,4.0,0.0,3.47,3.56,3.59,0.0
Mechatronics,Upper middle income,u37,6,2.71,3.3,3.54,4.0,4.0,3.6,3.51,3.62,3.77
Microelectronics and Embedded Systems,Upper middle income,U44,6,2.49,2.9,3.63,4.0,3.0,3.18,3.22,3.41,3.27
Microelectronics and Embedded Systems,Upper middle income,u37,6,2.6,3.09,3.45,4.0,3.0,3.18,3.18,3.44,3.53
Mechatronics,Upper middle income,u37,6,2.7,3.27,2.86,3.63,0.0,3.36,3.4,3.36,0.0
Microelectronics and Embedded Systems,Upper middle income,U30,6.5,3.03,3.32,3.86,3.58,0.0,3.61,3.52,3.68,0.0
Microelectronics and Embedded Systems,Upper middle income,u37,6,2.37,3.27,3.41,3.13,0.0,3.24,3.49,3.43,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.1,3.44,3.44,3.3,3.52,3.27,3.41,3.2
Geotechnical and Earth Resources Engineering,Upper middle income,U30,6,3.3,3.63,3.38,3.5,0.0,3.67,3.62,3.55,0.0
Gender and Development Studies,Upper middle income,u37,6,2.33,3.05,3.04,3.17,0.0,3.21,3.3,3.37,0.0
Computer Science,Upper middle income,u37,6,2.26,2.9,3.36,3.0,2.5,3.16,3.18,3.39,3.2
Industrial and Manufacturing Engineering,Upper middle income,U30,6,2.15,2.83,2.63,3.0,0.0,3.22,3.14,3.32,0.0
Microelectronics and Embedded Systems,Upper middle income,U30,6.5,3.27,3.64,3.91,3.58,0.0,3.55,3.62,3.78,0.0
Mechatronics,Lower middle income,U30,6,3.0,3.0,2.75,0.0,0.0,3.16,3.13,0.0,0.0
Offshore Technology and Management,Lower middle income,u37,6,2.0,3.5,3.2,2.5,0.0,3.53,3.54,3.39,0.0
Natural Resources Management,Low income,U30,,3.18,3.88,3.63,4.0,0.0,3.65,3.82,3.89,0.0
Energy Business Management,Upper middle income,u37,6,2.88,3.33,3.37,3.14,0.0,3.19,3.51,3.44,0.0
International Business - Management of Technology (VN),Lower middle income,u37,6,2.5,3.64,3.27,3.0,3.29,3.62,3.59,3.44,3.41
Remote Sensing and Geographic Information Systems,Upper middle income,u37,6,2.8,3.35,3.23,3.33,4.0,3.28,3.5,3.61,3.52
Natural Resources Management,Upper middle income,u37,6,3.5,3.77,3.38,3.5,0.0,3.51,3.68,3.72,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6,3.0,3.63,3.5,3.5,0.0,3.37,3.61,3.66,0.0
Environmental Engineering and Management,Lower middle income,U30,6,1.0,3.27,3.25,3.5,0.0,3.38,3.28,3.43,0.0
Food Engineering and Bioprocess Technology,Lower middle income,u37,6,2.0,3.75,3.5,3.5,0.0,3.54,3.64,3.66,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,3.0,3.38,3.27,3.33,0.0,3.59,3.5,3.54,0.0
Natural Resources Management,Lower middle income,u37,6,2.0,3.19,3.63,4.0,0.0,3.49,3.26,3.55,0.0
Agricultural Systems & Engineering,Lower middle income,u37,6.5,2.0,3.43,3.5,4.0,0.0,3.56,3.51,3.62,0.0
Natural Resources Management,Low income,U44,6,3.5,2.75,3.0,2.95,3.0,3.21,3.04,3.31,3.2
Environmental Engineering and Management,Lower middle income,U25,6,3.0,3.0,3.0,3.5,0.0,3.16,3.14,3.4,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,3.0,3.63,3.27,3.5,0.0,3.59,3.6,3.61,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,1.0,3.0,3.0,3.33,3.0,3.21,3.15,3.3,3.2
Information Management,Lower middle income,u37,6,2.0,3.0,2.88,3.13,3.5,3.18,3.27,3.33,3.38
Telecommunications,Lower middle income,U30,6,3.0,3.0,3.5,3.64,3.0,3.17,3.13,3.44,3.26
Mechatronics,Lower middle income,u37,6.5,2.0,3.13,3.13,0.0,0.0,3.21,3.16,0.0,0.0
Mechatronics,Lower middle income,U30,6,3.0,3.13,3.0,0.0,0.0,3.48,3.13,0.0,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U30,6,3.26,3.0,3.0,3.0,0.0,3.45,3.16,3.34,0.0
Computer Science,Low income,u37,6,3.0,3.17,3.38,4.0,2.5,3.19,3.51,3.59,3.6
Environmental Engineering and Management,Lower middle income,U25,6,3.48,3.13,3.63,3.0,2.5,3.28,3.2,3.64,3.25
Environmental Engineering and Management,Lower middle income,U30,6,3.69,3.36,3.5,3.5,0.0,3.2,3.51,3.58,0.0
Environmental Engineering and Management,Lower middle income,U30,6,2.3,2.88,2.86,2.5,0.0,3.54,3.05,3.3,0.0
Environmental Engineering and Management,Upper middle income,U25,6,3.36,3.5,3.59,3.5,0.0,3.47,3.57,3.66,0.0
Business Administration - MBA,Lower middle income,U30,6,2.7,3.79,3.67,3.67,3.0,3.53,3.67,3.59,3.35
Environmental Engineering and Management,Upper middle income,U30,6,3.18,3.33,3.38,3.6,0.0,3.25,3.46,3.5,0.0
Gender and Development Studies,Lower middle income,U30,6,3.0,3.0,2.88,3.0,0.0,3.31,3.06,3.3,0.0
Agricultural Systems & Engineering,Upper middle income,u37,6,3.27,3.5,3.83,3.25,3.63,3.16,3.58,3.66,3.58
Computer Science,Upper middle income,U25,6,3.53,3.75,3.83,4.0,4.0,3.39,3.71,3.93,3.87
Regional and Rural Development Planning,Lower middle income,U30,6,3.0,3.38,3.38,3.67,0.0,3.64,3.52,3.55,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6,3.0,3.25,3.38,4.0,0.0,3.64,3.39,3.53,0.0
Urban Environmental Management,Low income,U30,6,3.5,3.43,3.71,0.0,0.0,3.58,3.58,0.0,0.0
Climate Change and Sustainable Development,Lower middle income,U30,,2.29,3.23,3.21,0.0,0.0,3.42,3.31,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.06,3.25,3.0,3.14,0.0,3.21,3.38,3.33,0.0
Urban Environmental Management,Low income,u37,6,3.5,2.71,3.32,3.0,0.0,3.17,3.13,3.32,0.0
AgriBusiness Management,Lower middle income,U30,,4.0,3.88,3.75,4.0,0.0,3.56,3.73,3.87,0.0
Water Engineering and Management,Lower middle income,u37,,3.0,3.38,3.61,0.0,0.0,3.21,3.51,0.0,0.0
Structural Engineering,Lower middle income,U30,6,3.1,3.38,3.38,3.5,0.0,3.28,3.51,3.47,0.0
Natural Resources Management,Lower middle income,U30,6,3.66,3.38,3.38,3.5,0.0,3.58,3.52,3.61,0.0
Agricultural Systems & Engineering,Lower middle income,U30,6,2.0,3.18,3.67,3.5,0.0,3.59,3.3,3.58,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,u37,,3.52,3.88,3.63,3.5,0.0,3.74,3.74,3.8,0.0
Mechatronics,Lower middle income,U30,,2.7,3.25,2.63,3.0,0.0,3.54,3.19,3.37,0.0
Computer Science,Upper middle income,U25,6,3.92,3.0,3.5,3.0,3.5,3.26,3.32,3.61,3.49
Mechatronics,Upper middle income,U30,6,3.34,3.33,3.13,4.0,0.0,3.27,3.39,3.44,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.53,3.7,3.46,3.5,0.0,3.54,3.68,3.66,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U30,,4.0,3.71,3.58,3.5,0.0,3.18,3.71,3.83,0.0
Computer Science,Low income,U30,6,4.0,3.5,3.5,3.5,0.0,3.59,3.65,3.7,0.0
Information Management,Lower middle income,U25,6,1.0,3.38,3.25,3.5,0.0,3.17,3.35,3.52,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.0,3.5,3.25,4.0,0.0,3.53,3.57,3.51,0.0
Natural Resources Management,Lower middle income,U30,6,2.82,3.88,3.63,4.0,0.0,3.58,3.77,3.81,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6,2.0,3.38,3.79,0.0,0.0,3.31,3.51,0.0,0.0
Gender and Development Studies,Lower middle income,G45,6,3.13,2.88,3.0,3.0,0.0,3.16,3.13,3.32,0.0
Mechatronics,Lower middle income,U30,6,2.73,3.25,3.25,0.0,0.0,3.22,3.25,0.0,0.0
Food Engineering and Bioprocess Technology,Low income,U30,,3.87,3.5,3.75,4.0,0.0,3.64,3.63,3.84,0.0
Business Administration - MBA,Low income,U30,,3.23,3.71,3.75,3.5,3.83,3.83,3.72,3.78,3.72
Business Administration - MBA,Low income,U30,,4.0,3.57,4.0,4.0,4.0,3.51,3.64,3.83,3.77
Business Administration - MBA,Lower middle income,U30,,2.1,3.0,3.25,3.36,0.0,3.56,3.14,3.35,0.0
Business Administration - MBA,Lower middle income,U30,,2.49,3.86,3.92,3.7,0.0,3.59,3.71,3.73,0.0
Business Administration - MBA,Upper middle income,U30,6,3.67,3.29,3.42,3.1,3.14,3.54,3.4,3.46,3.46
Business Administration - MBA,Lower middle income,U25,,3.5,3.21,3.17,3.25,3.1,3.19,3.2,3.46,3.2
Business Administration - MBA,Lower middle income,U30,6,2.0,3.36,3.67,3.32,0.0,3.51,3.48,3.36,0.0
Business Administration - MBA,Lower middle income,U30,6.5,3.0,3.14,3.33,3.25,3.35,3.45,3.25,3.4,3.51
Business Administration - MBA,Upper middle income,U44,6,3.18,3.86,3.75,3.88,0.0,3.53,3.71,3.72,0.0
Business Administration - MBA,Upper middle income,U30,6,3.55,3.21,3.25,3.0,3.5,3.24,3.24,3.44,3.5
Business Administration - MBA,Lower middle income,U30,,3.13,3.5,3.5,3.59,3.23,3.47,3.55,3.5,3.53
Energy,Low income,u37,,4.0,3.38,3.27,3.13,0.0,3.4,3.54,3.52,0.0
Gender and Development Studies,Lower middle income,u37,6,3.5,3.13,3.13,3.75,0.0,3.2,3.14,3.43,0.0
Business Administration - MBA,Low income,U30,6,3.04,3.43,3.9,3.89,3.7,3.45,3.57,3.62,3.59
Business Administration - MBA,Low income,U30,7,2.82,3.43,3.6,3.57,3.35,3.52,3.6,3.58,3.51
Business Administration - MBA,Low income,U30,6,2.89,3.36,3.6,3.57,3.9,3.39,3.51,3.52,3.49
Business Administration - MBA,Low income,U30,6.5,3.81,3.5,4.0,3.89,3.75,3.5,3.61,3.73,3.69
Business Administration - MBA,Low income,U30,7.5,3.41,4.0,4.0,4.0,3.64,3.53,3.87,3.93,3.92
Business Administration - MBA,Lower middle income,u37,6,2.0,3.0,3.33,3.38,3.09,3.46,3.18,3.36,3.2
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.56,4.0,4.0,0.0,0.0,3.54,3.83,0.0,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.49,3.25,3.75,0.0,0.0,3.59,3.37,0.0,0.0
Industrial and Manufacturing Engineering,Lower middle income,U30,,3.5,3.63,4.0,4.0,0.0,3.59,3.62,3.9,0.0
Industrial and Manufacturing Engineering,Lower middle income,U30,6,2.0,2.75,2.88,3.0,0.0,3.28,3.13,3.3,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U30,6,3.78,4.0,4.0,4.0,0.0,3.74,3.8,3.88,0.0
Information & Communications Technologies,Lower middle income,U30,6,3.0,2.96,3.18,3.2,3.5,3.17,3.13,3.43,3.47
Regional and Rural Development Planning,Lower middle income,u37,6,3.0,3.38,3.23,3.5,0.0,3.51,3.53,3.55,0.0
Natural Resources Management,Lower middle income,U30,6.5,1.0,3.54,3.38,3.5,0.0,3.63,3.6,3.47,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U30,,3.31,3.14,3.68,3.0,0.0,3.52,3.27,3.66,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.66,3.38,2.88,4.0,0.0,3.61,3.5,3.46,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.52,3.17,3.0,3.25,0.0,3.23,3.23,3.38,0.0
Industrial and Manufacturing Engineering,Upper middle income,U25,6,3.23,3.17,3.88,4.0,0.0,3.59,3.32,3.65,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.05,3.17,3.38,3.5,0.0,3.52,3.3,3.44,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.7,3.33,3.25,4.0,0.0,3.41,3.46,3.53,0.0
Industrial and Manufacturing Engineering,Low income,U30,6,4.0,2.88,3.5,3.0,0.0,3.16,3.13,3.42,0.0
Microelectronics and Embedded Systems,Lower middle income,U25,,3.54,3.63,4.0,0.0,0.0,3.7,3.63,0.0,0.0
Telecommunications,Upper middle income,u37,6,3.41,2.83,3.5,3.7,0.0,3.16,3.13,3.43,0.0
Business Administration - MBA,Low income,U30,,3.42,3.71,4.0,4.0,3.9,3.54,3.7,3.81,3.66
Mechatronics,Lower middle income,U30,6,2.47,3.0,3.0,0.0,0.0,3.19,3.13,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.43,2.83,3.25,3.3,0.0,3.24,3.13,3.36,0.0
Business Administration - MBA,Lower middle income,U30,6,2.75,3.07,3.42,3.36,3.67,3.52,3.17,3.36,3.31
Urban Environmental Management,Lower middle income,U25,6,2.75,4.0,4.0,0.0,0.0,3.7,3.81,0.0,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U25,6,2.9,3.0,3.17,3.0,3.0,3.48,3.2,3.36,3.2
Geotechnical and Earth Resources Engineering,Upper middle income,U30,6,3.4,3.63,3.75,4.0,0.0,3.62,3.65,3.6,0.0
ConstructionEngineering and Infrastructure Management,Low income,u37,6,2.31,3.0,3.04,0.0,0.0,3.17,3.17,0.0,0.0
Geotechnical and Earth Resources Engineering,Low income,U25,,3.98,3.75,4.0,4.0,0.0,3.65,3.75,3.87,0.0
Geotechnical and Earth Resources Engineering,Lower middle income,U30,6,3.0,3.38,3.75,3.5,0.0,3.35,3.52,3.65,0.0
Geotechnical and Earth Resources Engineering,Lower middle income,U30,6,3.51,3.14,2.88,3.5,0.0,3.16,3.16,3.43,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U30,6,3.14,3.17,3.38,3.5,3.5,3.23,3.37,3.43,3.48
Geotechnical and Earth Resources Engineering,Upper middle income,U25,6,3.24,3.5,3.75,4.0,3.5,3.46,3.58,3.58,3.72
Industrial and Manufacturing Engineering,Lower middle income,U30,6,3.0,3.75,3.38,4.0,0.0,3.48,3.67,3.76,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U25,6,3.58,3.38,3.88,3.5,0.0,3.56,3.54,3.62,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U25,6,3.6,3.5,3.63,4.0,4.0,3.48,3.58,3.57,3.69
Transportation Engineering,High income,U30,6,2.64,3.63,0.0,0.0,0.0,3.71,1.05,0.0,0.0
Structural Engineering,Low income,u37,6,3.5,3.38,3.38,3.5,0.0,3.46,3.55,3.51,0.0
Structural Engineering,Low income,U30,6,3.5,3.75,3.75,3.5,0.0,3.62,3.75,3.68,0.0
Transportation Engineering,Low income,U30,,3.5,3.5,3.36,0.0,0.0,3.62,3.62,0.0,0.0
Structural Engineering,Upper middle income,U30,6,3.92,3.5,3.63,3.5,0.0,3.54,3.58,3.55,0.0
Urban Environmental Management,Lower middle income,U30,,3.5,3.79,3.54,0.0,0.0,3.48,3.73,0.0,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.33,3.25,3.36,4.0,0.0,3.38,3.35,3.5,0.0
Agricultural Systems & Engineering,Upper middle income,U25,6,3.26,3.0,3.17,3.31,0.0,3.44,3.14,3.38,0.0
Business Administration - MBA,Lower middle income,U30,,3.1,3.79,3.92,3.83,4.0,3.58,3.68,3.79,3.76
Environmental Engineering and Management,Upper middle income,U30,6,3.57,3.67,3.88,4.0,0.0,3.37,3.67,3.74,0.0
Environmental Engineering and Management,Upper middle income,U25,6,3.64,3.33,3.63,3.67,3.5,3.37,3.52,3.67,3.67
Climate Change and Sustainable Development,Lower middle income,U30,,3.03,3.75,3.73,4.0,0.0,3.55,3.72,3.8,0.0
Geotechnical and Earth Resources Engineering,Upper middle income,U25,6,3.11,3.75,4.0,3.5,0.0,3.51,3.69,3.75,0.0
Water Engineering and Management,Lower middle income,U30,,4.0,3.27,3.57,0.0,0.0,3.17,3.39,0.0,0.0
Water Engineering and Management,Lower middle income,U25,,4.0,2.96,3.21,0.0,0.0,3.16,3.23,0.0,0.0
Water Engineering and Management,Low income,U30,6,4.0,2.9,3.0,3.5,0.0,3.18,3.13,3.42,0.0
Water Engineering and Management,Low income,U25,,4.0,4.0,4.0,0.0,0.0,3.72,3.88,0.0,0.0
Water Engineering and Management,Low income,U30,,3.5,3.77,3.71,0.0,0.0,3.64,3.76,0.0,0.0
Water Engineering and Management,Low income,U30,6,3.61,3.19,3.21,0.0,0.0,3.61,3.27,0.0,0.0
Water Engineering and Management,Upper middle income,U30,6,3.65,3.7,3.29,4.0,0.0,3.46,3.66,3.63,0.0
Water Engineering and Management,Upper middle income,U30,6,3.38,3.35,3.36,3.0,0.0,3.42,3.5,3.54,0.0
Geotechnical and Earth Resources Engineering,Lower middle income,U30,6,3.03,3.5,3.75,4.0,0.0,3.56,3.57,3.57,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.6,3.7,3.6,3.5,0.0,3.56,3.67,3.84,0.0
Telecommunications,Lower middle income,U30,6,3.0,2.88,3.25,3.5,3.5,3.33,3.13,3.39,3.2
Aquaculture and Aquatic Resources Management,Upper middle income,U25,6,3.56,2.95,3.58,3.33,0.0,3.47,3.13,3.56,0.0
Agricultural Systems & Engineering,Upper middle income,u37,6,3.38,3.0,3.63,3.0,4.0,3.16,3.15,3.51,3.23
Energy,Upper middle income,U30,6,3.75,3.46,3.27,3.8,0.0,3.16,3.54,3.53,0.0
Energy,Upper middle income,U30,6,3.54,4.0,3.92,4.0,0.0,3.55,3.8,3.8,0.0
Energy,Lower middle income,U30,6,3.0,3.15,3.35,3.07,0.0,3.25,3.2,3.32,0.0
Energy,Low income,U30,,3.06,3.33,3.38,3.75,0.0,3.71,3.54,3.59,0.0
Water Engineering and Management,Low income,U30,,2.82,3.88,3.71,0.0,0.0,3.8,3.82,0.0,0.0
Offshore Technology and Management,Upper middle income,U30,6,3.09,3.33,3.15,3.38,0.0,3.4,3.49,3.49,0.0
Urban Water Engineering and Management,Lower middle income,u37,6,4.0,3.0,0.0,0.0,0.0,3.16,0.38,0.0,0.0
Offshore Technology and Management,Upper middle income,u37,6,3.57,3.38,3.5,3.0,0.0,3.43,3.51,3.5,0.0
Offshore Technology and Management,Upper middle income,U30,6,3.31,3.38,3.58,3.0,0.0,3.47,3.5,3.51,0.0
Water Engineering and Management,Upper middle income,U30,6,3.41,3.5,3.36,3.0,0.0,3.46,3.56,3.47,0.0
Energy,Low income,U30,6,3.5,2.88,3.21,2.9,0.0,3.19,3.13,3.32,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,2.5,3.23,3.54,3.4,3.19,3.54,3.5,3.41,3.25
Geotechnical and Earth Resources Engineering,Low income,U44,6,4.0,2.88,3.13,3.0,0.0,3.15,3.13,3.45,0.0
Energy,Lower middle income,U30,,4.0,3.46,3.92,4.0,3.38,3.22,3.58,3.68,3.54
Agricultural Systems & Engineering,Lower middle income,U30,6,3.0,3.75,4.0,4.0,0.0,3.57,3.7,3.84,0.0
Energy,Lower middle income,U30,,3.1,3.42,3.43,3.5,0.0,3.43,3.54,3.57,0.0
Energy,Lower middle income,U30,6,3.5,3.0,2.88,3.19,0.0,3.18,3.13,3.3,0.0
Energy,Lower middle income,u37,6,2.43,3.62,3.81,4.0,0.0,3.55,3.63,3.64,0.0
Mechatronics,Lower middle income,U30,6,3.02,3.75,3.75,0.0,0.0,3.26,3.66,0.0,0.0
Mechatronics,Lower middle income,U30,6,2.63,3.0,3.25,0.0,0.0,3.21,3.13,0.0,0.0
Disaster Preparedness Mitigation and Management,Low income,U30,6,3.0,3.25,3.63,3.5,0.0,3.34,3.51,3.57,0.0
Mechatronics,Lower middle income,U30,6,2.64,3.88,3.5,3.5,0.0,3.54,3.73,3.62,0.0
Industrial and Manufacturing Engineering,Lower middle income,U30,6.5,2.88,3.63,3.88,0.0,0.0,3.6,3.61,0.0,0.0
Industrial and Manufacturing Engineering,Lower middle income,U30,6.5,2.93,3.63,3.88,0.0,0.0,3.61,3.61,0.0,0.0
Water Engineering and Management,Upper middle income,U25,6,2.81,3.2,3.29,2.5,0.0,3.44,3.31,3.4,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.5,3.67,3.63,4.0,0.0,3.55,3.67,3.68,0.0
Telecommunications,Low income,U30,,4.0,3.88,4.0,4.0,0.0,3.7,3.86,4.0,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6,4.0,3.5,3.88,4.0,0.0,3.5,3.57,3.79,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6,3.24,2.88,2.88,4.0,0.0,3.2,3.13,3.35,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,,1.0,3.13,3.13,4.0,0.0,3.38,3.17,3.44,0.0
Food Engineering and Bioprocess Technology,Low income,U30,6,3.5,3.25,3.5,4.0,0.0,3.52,3.49,3.62,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,6,3.35,3.88,3.5,4.0,0.0,3.52,3.75,3.88,0.0
Natural Resources Management,Lower middle income,u37,6,2.0,3.27,3.13,3.5,0.0,3.49,3.37,3.47,0.0
Geotechnical and Earth Resources Engineering,Lower middle income,u37,6,2.98,3.88,4.0,3.5,0.0,3.55,3.76,3.87,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6,3.67,3.38,3.54,0.0,0.0,3.2,3.49,0.0,0.0
Water Engineering and Management,Low income,U30,6,4.0,3.54,3.61,0.0,0.0,3.54,3.63,0.0,0.0
Transportation Engineering,Lower middle income,U30,6,2.86,3.75,3.5,0.0,0.0,3.55,3.69,0.0,0.0
Geotechnical and Earth Resources Engineering,Lower middle income,U30,6,3.7,4.0,4.0,4.0,4.0,3.2,3.83,3.76,3.7
Regional and Rural Development Planning,Low income,u37,6.5,3.12,4.0,4.0,3.67,0.0,3.93,3.88,3.9,0.0
Regional and Rural Development Planning,Lower middle income,U44,,3.5,3.5,3.36,3.5,0.0,3.38,3.54,3.66,0.0
Natural Resources Management,Low income,U30,,3.61,3.96,3.88,0.0,0.0,3.76,3.88,0.0,0.0
Regional and Rural Development Planning,Low income,U25,6,3.71,3.88,3.88,4.0,0.0,3.81,3.8,3.79,0.0
Gender and Development Studies,Lower middle income,u37,6,3.02,3.0,3.38,3.25,0.0,3.16,3.14,3.41,0.0
Gender and Development Studies,High income,U25,,3.84,4.0,3.75,3.75,3.5,3.84,3.73,3.76,3.53
Gender and Development Studies,Lower middle income,U30,6,3.0,3.5,3.25,3.5,0.0,3.52,3.56,3.54,0.0
Gender and Development Studies,Lower middle income,u37,6,3.53,3.75,3.63,3.75,0.0,3.18,3.68,3.66,0.0
Industrial and Manufacturing Engineering,Upper middle income,U30,6,3.49,3.63,3.75,4.0,0.0,3.57,3.63,3.77,0.0
Water Engineering and Management,Lower middle income,U30,6,3.5,3.88,3.57,0.0,0.0,3.61,3.77,0.0,0.0
Energy,Lower middle income,U30,6,2.86,2.85,2.88,3.25,3.5,3.21,3.13,3.3,3.2
Offshore Technology and Management,Lower middle income,U30,6,3.0,3.38,3.23,3.0,0.0,3.52,3.5,3.42,0.0
Business Administration - MBA,Upper middle income,U30,6,3.5,3.5,3.58,3.65,3.5,3.5,3.54,3.56,3.58
Gender and Development Studies,Lower middle income,u37,6,3.05,3.5,3.5,3.5,0.0,3.2,3.55,3.47,0.0
Gender and Development Studies,Lower middle income,U30,,2.0,3.13,3.25,3.0,0.0,3.41,3.24,3.38,0.0
Gender and Development Studies,Lower middle income,u37,,2.9,3.63,3.63,3.75,0.0,3.18,3.62,3.57,0.0
Environmental Engineering and Management,Upper middle income,U25,,3.03,3.0,3.25,3.5,0.0,3.16,3.19,3.48,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.39,2.86,3.13,3.0,0.0,3.53,3.13,3.37,0.0
Environmental Engineering and Management,Low income,U30,,3.11,3.77,3.75,4.0,0.0,3.7,3.78,3.85,0.0
Environmental Engineering and Management,Upper middle income,U30,6,3.69,3.33,4.0,4.0,0.0,3.47,3.51,3.64,0.0
